X,Y,OBJECTID,BUSLIC_LOCATION_ID,DEA_FACILITY_OWNER,DEA_FACILITY_NAME,DEA_BUSINESS_CONTACT,DEA_BUSINESS_PHONE,DEA_FACILITY_ADDRESS,DEA_STALLS,FAC_NAME,HRS_MONFRI,HRS_SAT,HRS_SUN,FAC_TYPE,RTE_1HR,RTE_2HR,RTE_3HR,RTE_ALLDAY,DISABLED,OP_NAME,OP_PHONE,OP_PHONE2,OP_WEB,PAYMENT_TYPE,OTHER,WEBNAME,REGIONID,SIGNID
1274462.875,244589.2031,12873,705410,,DIAMOND PARKING  WX10,JONATHAN DIAMOND,2062843100,"907 NE 45TH ST, SEATTLE, WA 98105",17,DIAMOND PARKING  WX10,,,,,,,,,,,,,,,N,,,
1270086.125,224597.3124,12874,580480,,EXPEDITOR GARAGE,R GATES,2066743400,"1015 3RD AVE # FL 12, SEATTLE, WA 98104",154,EXPEDITOR GARAGE,,,,,,,,,,,,,,,N,,,
1264339.125,230162.2187,12875,625108,,DIAMOND PARKING  A128,JONATHAN DIAMOND,2062843100,"233 1ST AVE W, SEATTLE, WA 98109",22,DIAMOND PARKING  A128,,,,,,,,,,,,,,,N,,,
1268903.75,226388.0782,12876,740982,,UNITED PARKING SERVICES 4553,JONATHAN DIAMOND,2062843100,"1600 2ND AVE, SEATTLE, WA 98101-3273",50,UNITED PARKING SERVICES 4553,,,,,,,,,,,,,,,N,,,
1273421.75,226294.9843,12877,711581,,ALCOA LOT   1401,MARK NORWICZ,4102676111,"1401 MADISON ST, SEATTLE, WA 98104-1316",53,ALCOA LOT   1401,,,,,,,,,,,,,,,N,,,
1267467.125,240357.5313,12878,4570,,U PARK 66,KEN JR PHILLIPS,2066245353,"910 N NORTHLAKE WAY, SEATTLE, WA 98103",85,U PARK 66,,,,,,,,,,,,,,,N,,,
1264873.125,241482.0157,12879,4591,,U PARK 87,KEN JR PHILLIPS,2062849797,"100 N CANAL ST, SEATTLE, WA 98103",90,U PARK 87,,,,,,,,,,,,,,,N,,,
1266551.25,240574.0157,12880,4578,,U PARK 74,KEN JR PHILLIPS,2062849797,"601 N 34TH ST, SEATTLE, WA 98103",90,U PARK 74,,,,,,,,,,,,,,,N,,,
1266551.25,240574.0157,13121,4557,,U PARK 52,KEN JR PHILLIPS,2062847979,"601 N 34TH ST, SEATTLE, WA 98103",56,U PARK 52,,,,,,,,,,,,,,,N,,,
1265462.5,241195.9375,13122,4576,,U PARK 72,KEN JR PHILLIPS,2062849797,"173 N 35TH ST, SEATTLE, WA 98133",36,U PARK 72,,,,,,,,,,,,,,,N,,,
1269142.625,229377.25,13123,637801,,DISCOVERY CENTER LOT 81902,BILL BEATTIE,2062899296,"101 WESTLAKE AVE N, SEATTLE, WA 98109-5215",26,DISCOVERY CENTER LOT 81902,,,,,,,,,,,,,,,N,,,
1273569.375,222226.0469,13124,604643,,DIAMOND PARKING  A633,JONATHAN DIAMOND,2062843100,"900 S JACKSON ST, SEATTLE, WA 98104",180,DIAMOND PARKING  A633,,,,,,,,,,,,,,,N,,,
1270145.375,226131.2188,13125,165225,,ACE PARKING MANAGEMENT INC,KEITH JONES,6192336624,"500 UNION ST #400, SEATTLE, WA 98101",589,ACE PARKING MANAGEMENT INC,,,,,,,,,,,,,,,N,,,
1270145.375,226131.2188,13126,165225,,ACE PARKING MANAGEMENT INC,KEITH JONES,2069031218,"500 UNION ST #400, SEATTLE, WA 98101",589,ACE PARKING MANAGEMENT INC,,,,,,,,,,,,,,,N,,,
1270145.375,226131.2188,13127,165225,,ACE PARKING MANAGEMENT INC,KEITH JONES,2067275827,"500 UNION ST #400, SEATTLE, WA 98101",589,ACE PARKING MANAGEMENT INC,,,,,,,,,,,,,,,N,,,
1269219.375,224809.1406,13128,600948,,UNITED PARKING  4518,JONATHAN DIAMOND,2062843100,"1221 1ST AVE, SEATTLE, WA 98101",235,UNITED PARKING  4518,,,,,,,,,,,,,,,N,,,
1270200.125,217221.1094,13129,595311,,DIAMOND  A873,JONATHAN DIAMOND,2062843100,"1910 1ST AVE S, SEATTLE, WA 98134",5,DIAMOND  A873,,,,,,,,,,,,,,,N,,,
1270200.125,217221.1094,13130,584045,,DIAMOND PARKING  A238,JONATHAN DIAMOND,2062846303,"1900 1ST AVE S, SEATTLE, WA 98134",65,DIAMOND PARKING  A238,,,,,,,,,,,,,,,N,,,
1258294,247975.7501,13131,637235,,DIAMOND PARKING  WU88,JONATHAN DIAMOND,2062843100,"5512 22ND AVE NW, SEATTLE, WA 98107",25,DIAMOND PARKING  WU88,,,,,,,,,,,,,,,N,,,
1270107.5,214009.4688,13132,671117,,DIAMOND PARKING  A414,JONATHAN DIAMOND,2062843100,"2930 1ST AVE S, SEATTLE, WA 98134",23,DIAMOND PARKING  A414,,,,,,,,,,,,,,,N,,,
1279169.625,214033.7343,13133,689415,,DIAMOND PARKING  A467,JONATHAN DIAMOND,2062843100,"2910 RAINIER AVE S, SEATTLE, WA 98144",25,DIAMOND PARKING  A467,,,,,,,,,,,,,,,N,,,
1277816.074,228925.038,13134,741139,,DIAMOND PARKING SERVICES A701,JONATHAN DIAMOND,2062843100,"2211 E MADISON ST, SEATTLE, WA 98112-5336",11,DIAMOND PARKING SERVICES A701,,,,,,,,,,,,,,,N,,,
1271521.625,218415.953,13135,705180,,IPM  15,JOAN SUNDBERG,2062540811,"1550 4TH AVE S, SEATTLE, WA 98134",68,IPM  15,,,,,,,,,,,,,,,N,,,
1269511.25,228243.2657,13136,668193,,STANDARD PARKING 82190 WEST 8TH,BILL BEATTIE,2063818552,"2001 8TH AVE, SEATTLE, WA 98121-2615",444,STANDARD PARKING 82190 WEST 8TH,,,,,,,,,,,,,,,N,,,
1270051.375,226579.8594,13137,596082,,520 PIKE TOWER GARAGE 82199,BILL BEATTIE,2063818552,"520 PIKE ST, SEATTLE, WA 98101-1385",263,520 PIKE TOWER GARAGE 82199,,,,,,,,,,,,,,,N,,,
